episode,reward,epsilon,steps,success
1,7.271018772818142,0.6998811999999985,99,0
2,-5.2090416388400955,0.6988251999999859,320,0
3,-30.740641130399997,0.6980364999999765,239,0
4,-10.33529196578447,0.6975447999999707,149,0
5,-34.58430313847722,0.6968352999999622,215,0
6,-26.599999999999973,0.6963072999999559,160,0
7,-29.399999999999963,0.6957990999999498,154,0
8,-25.799999999999976,0.6953799999999448,127,0
9,-43.59999999999994,0.6943635999999327,308,0
10,-23.399999999999984,0.6939972999999283,111,0
11,-12.309142991976579,0.6937959999999259,61,0
12,-25.799999999999976,0.6933735999999209,128,0
13,-52.00000000000006,0.6921723999999065,364,0
14,-43.59999999999994,0.6912153999998951,290,0
15,-21.656261830345734,0.6908424999998907,113,0
16,-14.333004015786742,0.6904926999998865,106,0
17,11.778237317758133,0.6899151999998796,175,0
18,-44.99999999999996,0.6890208999998689,271,0
19,-35.199999999999946,0.6882387999998596,237,0
20,-43.59999999999994,0.6872718999998481,293,0
21,-28.999999999999964,0.6867867999998423,147,0
22,-65.81344349699575,0.685083999999822,516,0
23,-18.745495729742917,0.6840180999998092,323,0
24,-0.16191754176717765,0.6828201999997949,363,0
25,-44.67905997782901,0.6818961999997839,280,0
26,-33.39999999999995,0.6811734999997753,219,0
27,-44.935850928827165,0.67989639999976,387,0
28,-26.56178674533938,0.6793617999997537,162,0
29,8.639928334113986,0.6786753999997455,208,0
30,-31.999999999999954,0.6780681999997382,184,0
31,-25.999999999999975,0.6776259999997329,134,0
32,-24.01460478979744,0.6769692999997251,199,0
33,-32.799999999999955,0.6761805999997157,239,0
34,-29.064232534338,0.6747351999996984,438,0
35,0.788135976964913,0.6743919999996943,104,0
36,-71.80000000000034,0.6724449999996711,590,0
37,12.22018215631039,0.6720918999996669,107,0
38,-19.963139895616106,0.6708246999996518,384,0
39,-36.19923440195282,0.6697752999996393,318,0
40,-27.79999999999997,0.6692373999996328,163,0
41,-34.79999999999994,0.6685113999996242,220,0
42,-26.99999999999997,0.6680724999996189,133,0
43,-18.337295496102982,0.6675279999996124,165,0
44,-14.358745709730567,0.6662607999995973,384,1
45,-10.168291865583914,0.6655281999995886,222,0
46,-24.105381700861457,0.6649407999995816,178,0
47,-59.600000000000165,0.6635679999995652,416,0
48,-23.48102713216103,0.6629376999995577,191,0
49,-17.215149385977433,0.6627264999995551,64,0
50,-29.599999999999962,0.6621654999995484,170,0
51,-24.39999999999998,0.6616605999995424,153,0
52,-25.999999999999975,0.6611985999995369,140,0
53,-58.53465047998227,0.6590733999995115,644,0
54,-32.19999999999995,0.6585618999995054,155,0
55,-21.501550488680962,0.6582813999995021,85,0
56,-25.399999999999977,0.6579480999994981,101,0
57,-9.780261853709671,0.657608199999494,103,0
58,-13.79138399790857,0.6572781999994901,100,0
59,-20.999999999999993,0.6569514999994862,99,0
60,-30.19999999999996,0.6564729999994805,145,0
61,-16.498867546235097,0.6557799999994722,210,0
62,-53.200000000000074,0.6544698999994566,397,0
63,-14.854430309248102,0.6542091999994535,79,0
64,-23.999999999999982,0.6538593999994493,106,0
65,-26.377849823859602,0.6532686999994423,179,0
66,-12.937043942659807,0.6527835999994365,147,0
67,0.9078995982482319,0.6524172999994321,111,1
68,-30.148213649094117,0.6517044999994236,216,0
69,-22.83856358469074,0.65140749999942,90,0
70,-11.771728118353746,0.6507606999994123,196,0
71,-27.39999999999997,0.6502722999994065,148,0
72,2.6779572846895228,0.6496914999993996,176,0
73,12.109034745419898,0.6488004999993889,270,0
74,-28.682743868685886,0.6483219999993832,145,0
75,-19.0,0.6481140999993807,63,0
76,-22.52325714750546,0.6475365999993739,175,0
77,-37.399999999999935,0.6466983999993638,254,0
78,12.468028378189807,0.6460317999993559,202,0
79,-23.13879583805045,0.6457281999993523,92,0
