step,x,y,x_velocity,y_velocity,target_distance,action,reward,cumulative_reward
0,223.29286,193.84303,1.472138,-1.0464768,0.0,0,-0.2,-0.2
1,224.7878,192.8281,1.9949268,-1.0149391,0.0,0,-0.2,-0.4
2,226.80508,191.84503,2.517292,-0.9830702,0.0,0,-0.2,-0.6000000000000001
3,229.34431,190.89436,3.0392256,-0.9506606,0.0,0,-0.2,-0.8
4,232.40501,189.97685,3.560697,-0.9175043,0.0,0,-0.2,-1.0
5,235.98666,189.09346,4.0816503,-0.883399,0.0,0,-0.2,-1.2
6,240.08865,188.24532,4.601997,-0.84814763,0.0,0,-0.2,-1.4
7,244.71027,187.43375,5.12161,-0.81156266,0.0,0,-0.2,-1.5999999999999999
8,249.85059,186.66028,5.6403184,-0.7734738,0.0,0,-0.2,-1.7999999999999998
9,255.50848,185.92654,6.1578994,-0.73373973,0.0,0,-0.2,-1.9999999999999998
10,261.68256,185.23427,6.674076,-0.6922645,0.0,0,-0.2,-2.1999999999999997
11,268.37106,184.58525,7.188514,-0.6490199,0.0,0,-0.2,-2.4
12,275.5719,183.98119,7.700832,-0.60407215,0.0,0,-0.17620578128950132,-2.5762057812895014
13,283.28253,183.42357,8.210614,-0.55761105,0.023794219,0,-0.12147228504953828,-2.69767806633904
14,291.49997,182.91359,8.717445,-0.5099765,0.07852771,0,-0.06339586974340777,-2.7610739360824477
15,300.22092,182.45192,9.220952,-0.46167427,0.13660413,0,-0.0020005931889050532,-2.7630745292713526
16,309.44177,182.03854,9.720861,-0.41337162,0.1979994,0,0.06268775033267376,-2.700386778938679
17,319.15884,181.67268,10.217058,-0.36586392,0.26268774,0,0.13064240021924628,-2.5697443787194327
18,329.36847,181.35268,10.709634,-0.32001004,0.3306424,0,0.20183607107499252,-2.36790830764444
19,340.06738,181.07603,11.1989,-0.276644,0.40183607,0,0.27624030534125404,-2.091668002303186
20,351.25275,180.83955,11.685369,-0.23648126,0.4762403,0,0.35382217998834625,-1.7378458223148396
21,362.92242,180.63951,12.169696,-0.20004255,0.55382216,0,0.43453433637383315,-1.3033114859410064
22,375.07504,180.4719,12.6526,-0.16761325,0.63453436,2,0.5182845041024706,-0.7850269818385358
23,387.7098,180.33264,12.634782,0.36075515,0.7182845,0,0.6020427744040269,-0.18298420743450894
24,400.32666,180.71785,13.1168585,0.3852093,0.8020428,0,0.6883850105559315,0.5054008031214225
25,413.42584,181.12408,13.5991745,0.4062345,0.888385,0,10,10.505400803121422
