step,action
0,2
1,3
2,2
3,2
4,2
5,4
6,1
7,3
8,2
9,0
10,2
11,2
12,2
13,1
14,3
15,2
16,2
17,2
18,2
19,1
20,3
21,4
22,4
23,2
24,2
25,0
26,2
27,4
28,3
29,1
30,3
31,2
32,2
33,4
34,1
35,2
36,3
37,0
38,3
39,1
40,2
41,3
42,2
43,4
44,2
45,2
46,0
47,0
48,2
49,3
50,2
51,2
52,3
53,1
54,1
55,2
56,3
57,3
58,0
59,4
60,3
61,3
62,3
63,3
64,4
65,3
66,3
67,2
68,3
69,0
70,0
71,4
72,3
73,3
74,3
75,3
76,1
77,0
78,3
79,0
80,3
81,3
82,3
83,1
84,3
85,3
86,3
87,2
88,0
89,1
90,3
91,3
92,3
93,2
94,3
95,3
96,1
97,1
98,2
99,3
100,3
101,4
102,4
103,3
104,3
105,3
106,3
107,4
108,3
109,3
110,3
111,0
112,3
113,3
