x,y
213.08888,415.30215
211.74147,414.23203
210.41365,413.13654
209.10573,412.0159
207.81801,410.8704
206.55081,409.7002
205.30447,408.50552
204.07927,407.28662
202.87556,406.04367
201.69365,404.77695
201.03386,403.4866
200.39658,402.17276
199.78217,400.83545
199.19102,399.4747
198.62358,398.0906
198.08025,396.68317
197.56143,395.25247
197.06761,393.79852
196.59923,392.3214
196.15675,390.82117
195.74066,389.29782
195.35149,387.75143
194.98973,386.18207
194.65593,384.58975
194.35063,382.97455
194.07443,381.3365
193.8279,379.67566
193.61166,377.99207
193.42638,376.28583
193.27267,374.55695
193.15125,372.8055
193.06282,371.03162
193.00812,369.23532
192.98793,367.4167
193.00304,365.5758
193.05428,363.7128
193.14252,361.82773
193.26868,359.92072
193.43365,357.9919
193.63849,356.04144
193.88416,354.06946
194.17175,352.07608
