step,x,y,x_velocity,y_velocity,target_distance,action,reward,cumulative_reward
0,382.1158,484.92792,-1.3303411,0.58430827,0.0,0,-0.2,-0.2
1,380.77887,485.4973,-0.836957,0.569409,0.0,0,-0.2,-0.4
2,379.9354,486.0518,-0.3434668,0.55446017,0.0,0,-0.2,-0.6000000000000001
3,379.5855,486.5913,0.15010798,0.53950524,0.0,0,-0.2,-0.8
4,379.72925,487.11588,0.6437447,0.52458626,0.0,4,0,-0.8
5,380.36667,487.6256,0.6374205,0.509744,0.0,3,-0.2,-1.0
6,380.9978,488.12064,0.6311128,-0.004981959,0.0,0,-0.2,-1.2
7,381.62262,488.10104,1.124821,-0.01959507,0.0,3,-0.2,-1.4
8,382.74112,488.0669,1.1185019,-0.5341576,0.0,0,-0.2,-1.5999999999999999
9,383.85324,487.51825,1.612135,-0.54862905,0.0,0,-0.2,-1.7999999999999998
10,385.45892,486.9552,2.1056778,-0.5630689,0.0,0,-0.2,-1.9999999999999998
11,387.55804,486.37775,2.5991113,-0.57743436,0.0,0,-0.2,-2.1999999999999997
12,390.15045,485.78607,3.0924187,-0.59168065,0.0,1,-0.2,-2.4
13,393.23605,485.18033,2.5855858,-0.60576177,0.0,3,-0.2,-2.6
14,395.81464,484.56067,2.5786033,-1.1196302,0.0,0,-0.2,-2.8000000000000003
15,398.38614,483.42737,3.0714917,-1.1333286,0.0,0,-0.2,-3.0000000000000004
16,401.45035,482.28046,3.5642102,-1.146904,0.0,4,0,-3.0000000000000004
17,405.0071,481.12015,3.5567517,-1.160305,0.0,0,-0.2,-3.2000000000000006
18,408.5562,479.94666,4.049114,-1.1734785,0.0,1,-0.2,-3.400000000000001
19,412.59753,478.76025,3.5413082,-1.1864183,0.0,0,-0.2,-3.600000000000001
20,416.13086,477.5612,4.0333385,-1.199071,0.0,0,-0.2,-3.800000000000001
21,420.15607,476.3497,4.525223,-1.2114797,0.0,0,-0.2,-4.000000000000001
22,424.67307,475.1261,5.0169697,-1.2235923,0.0,0,-0.2,-4.200000000000001
23,429.68164,473.89075,5.5085936,-1.2353579,0.0,1,-0.2,-4.400000000000001
24,435.18176,472.644,5.0001144,-1.2467281,0.0,0,-0.2,-4.600000000000001
25,440.1733,471.38635,5.491556,-1.2576578,0.0,0,-0.2,-4.800000000000002
26,445.65625,470.11816,5.982937,-1.2681967,0.0,0,-0.2,-5.000000000000002
27,451.63052,468.83987,6.474282,-1.2783049,0.0,0,-0.2,-5.200000000000002
28,458.09616,467.5519,6.9656224,-1.2879473,0.0,2,-0.2,-5.400000000000002
29,465.05316,466.25482,6.956991,-0.7970948,0.0,0,-0.2,-5.600000000000002
30,472.00156,465.4491,7.4484234,-0.805725,0.0,0,-0.2,-5.8000000000000025
31,479.44156,464.63525,7.939978,-0.8138484,0.0,0,-0.2,-6.000000000000003
32,487.37323,463.81378,8.431685,-0.8214569,0.0,0,-0.2,-6.200000000000003
33,495.7968,462.98523,8.9235735,-0.8285487,0.0,1,-0.2,-6.400000000000003
34,504.71246,462.15012,8.415669,-0.83512807,0.0,2,-0.2,-6.600000000000003
35,513.1205,461.3089,8.407998,-0.34120446,0.0,4,0,-6.600000000000003
36,521.521,460.96207,8.400549,-0.34684268,0.0,2,-0.2,-6.800000000000003
37,529.91437,460.61,8.393348,0.14792484,0.0,0,-0.2,-7.0000000000000036
38,538.3008,460.75305,8.886392,0.1430655,0.0,0,-0.2,-7.200000000000004
39,547.1805,460.8916,9.379696,0.13854833,0.0,0,-0.2,-7.400000000000004
40,556.5537,461.02597,9.873265,0.13436255,0.0,0,-0.2,-7.600000000000004
41,566.42084,461.15646,10.367104,0.13049534,0.0,0,-0.2,-7.800000000000004
42,576.78204,461.2834,10.861214,0.12693231,0.0,0,-0.2,-8.000000000000004
43,587.63763,461.40704,11.355594,0.12365783,0.0,0,-0.2,-8.200000000000003
44,598.98785,461.5277,11.850244,0.12065551,0.0,1,-0.2,-8.400000000000002
45,610.83307,461.64563,11.345159,0.11790848,0.0,0,-0.2,-8.600000000000001
46,622.1734,461.76102,11.840335,0.11539974,0.0,4,0,-8.600000000000001
47,634.0091,461.8741,11.835745,0.11309537,0.0,0,-0.2,-8.8
48,645.8405,461.9851,12.331386,0.11098251,0.0,0,-0.2,-9.0
49,658.1677,462.09415,12.827241,0.10904143,0.0,0,-0.2,-9.2
50,670.991,462.2014,13.323307,0.10726097,0.0,0,-0.2,-9.399999999999999
51,684.3106,462.30704,13.819577,0.10563011,0.0,0,-0.2,-9.599999999999998
52,698.12665,462.41116,14.316044,0.104138084,0.0,3,-0.2,-9.799999999999997
53,712.4394,462.51395,14.312701,-0.39722547,0.0,0,-0.2,-9.999999999999996
54,726.7489,462.11548,14.809542,-0.39847055,0.0,0,-0.2,-10.199999999999996
55,741.5555,461.71585,15.306548,-0.3996079,0.0,0,-0.2,-10.399999999999995
56,756.8592,461.31522,15.803714,-0.4006459,0.0,0,-0.2,-10.599999999999994
57,772.6602,460.91364,16.301033,-0.40159258,0.0,0,-0.2,-10.799999999999994
58,788.9587,460.51117,16.798498,-0.4024554,0.0,0,-10,-20.799999999999994
