x,y
274.31467,93.328
275.7385,93.172134
277.66412,93.03155
280.0914,92.90628
283.02014,92.796364
286.45016,92.701836
290.3812,92.622734
294.81293,92.55911
299.74506,92.51098
305.1772,92.47835
311.10895,92.461205
317.5399,92.45949
324.4695,92.47311
331.89737,92.5019
339.8229,92.54566
348.24564,92.60411
357.165,92.6769
366.58057,92.7636
376.49182,92.863716
386.89832,92.97667
397.7997,93.10183
409.19565,93.23851
421.08588,93.38599
433.4702,93.54351
446.34857,93.7103
459.7209,93.8856
473.5872,94.06866
487.94757,94.25876
502.80212,94.45519
518.15106,94.65733
533.9946,94.86457
550.333,95.07635
567.1664,95.29217
584.4952,95.51157
602.31946,95.734146
620.63965,95.959526
639.45593,96.18739
658.76855,96.41744
678.57776,96.64944
698.8838,96.88313
719.6869,97.11835
740.9872,97.3549
762.7849,97.59263
785.0802,97.83141
